year,quarter,entity_type,entity_name,registered_users,app_opens
2023,3,pincode,110059,772107,0
2023,3,pincode,560068,703693,0
2023,3,pincode,421302,688520,0
2023,3,pincode,122001,609934,0
2023,3,pincode,500072,609887,0
2023,3,pincode,110092,598195,0
2023,3,pincode,110086,540985,0
2023,3,pincode,121004,529674,0
2023,3,pincode,201009,509567,0
2023,2,district,bengaluru urban,15812243,0
2023,2,district,pune,10396344,0
2023,2,district,thane,6552282,0
2023,2,district,jaipur,6490210,0
2023,2,district,mumbai suburban,6322778,0
2023,2,district,hyderabad,5349842,0
2023,2,district,ahmadabad,4913610,0
2023,2,district,rangareddy,4638501,0
2023,2,district,north twenty four parganas,4079270,0
2023,2,district,surat,4076929,0
2023,2,pincode,201301,883262,0
2023,2,pincode,110059,744061,0
2023,2,pincode,560068,680831,0
2023,2,pincode,421302,662196,0
2023,2,pincode,500072,589156,0
2023,2,pincode,122001,587988,0
2023,2,pincode,110092,577301,0
2023,2,pincode,110086,520976,0
2023,2,pincode,121004,509776,0
2023,2,pincode,201009,490549,0
