year,quarter,entity_type,entity_name,count,amount
2023,1,pincode,560068,48544078,49093973079.0
2023,1,pincode,560037,36487467,39147776972.0
2023,1,pincode,201301,34429152,30542090341.0
2023,1,pincode,560076,31427375,31972479780.0
2023,1,pincode,500081,31374325,36780272643.0
2023,1,pincode,560078,30074920,33530112337.0
2023,1,pincode,500032,28718299,32875192612.0
2023,1,pincode,560100,27670041,26852310085.0
2023,1,pincode,560043,27613832,31447437376.0
2023,2,district,bengaluru urban,1124713207,1308665877658.0
2023,2,district,pune,554427668,535801107518.0
2023,2,district,rangareddy,384456496,561147925919.0
2023,2,district,hyderabad,328016262,467328236325.0
2023,2,district,medchal malkajgiri,296231089,434043629718.0
2023,2,district,jaipur,291245541,414094307123.0
2023,2,district,visakhapatnam,184918179,303874597259.0
2023,2,district,gurugram,168827725,167788722810.0
2023,2,district,gautam buddha nagar,157681545,150948217823.0
2023,2,district,thane,155714593,178939371434.0
2023,2,pincode,500072,58118143,80065833852.0
2023,2,pincode,560068,54020876,54852308815.0
2023,2,pincode,560037,41049027,45095955882.0
2023,2,pincode,201301,40364243,33059188347.0
2023,2,pincode,500081,37375003,43237645304.0
2023,2,pincode,500032,34638820,39216208745.0
2023,2,pincode,560076,34380780,35810435341.0
2023,2,pincode,560078,33172774,37560041959.0
2023,2,pincode,560100,31610913,30713650869.0
2023,2,pincode,411057,30991776,24785623038.0
2021,3,district,bengaluru urban,476485560,626123198813.8513
2021,3,district,pune,303322956,372243656247.4718
2021,3,district,hyderabad,262028284,479343321365.3726
2021,3,district,jaipur,193839196,313664435689.29987
2021,3,district,bhopal,103403998,146735124186.2163
2021,3,district,central delhi,88849847,137311394953.58371
2021,3,district,rangareddy,87884143,147772047919.14047
2021,3,district,medchal malkajgiri,79514766,130838255095.6952
2021,3,district,khordha,71647985,108452202806.23244
2021,3,district,visakhapatnam,69220981,136945652159.26515
2021,3,pincode,500001,173430239,335290201877.6652
2021,3,pincode,560001,171396431,241306340924.00638
2021,3,pincode,411004,155523883,217400690972.0777
2021,3,pincode,302016,108659324,179936124302.00922
2021,3,pincode,110006,77515502,117511789786.64261
2021,3,pincode,462008,74987334,111259178579.96481
2021,3,pincode,800001,49086869,90644799090.27641
2021,3,pincode,444510,45378525,84950919432.04364
2021,3,pincode,600003,42982007,71274098295.90457
2021,3,pincode,751001,41875475,65849220632.325775
2021,1,district,bengaluru urban,348712787,432401341231.7671
2021,1,district,pune,208930588,253623629237.65796
2021,1,district,hyderabad,169703372,316572388133.7874
2021,1,district,jaipur,125917532,223771205713.25284
2021,1,district,bhopal,67309234,101725720745.41443
2021,1,district,rangareddy,60675056,98883148961.30931
2021,1,district,medchal malkajgiri,54854446,87516738646.29623
2021,1,district,central delhi,54173342,90711721159.77658
2021,1,district,mumbai suburban,49079788,75911506798.24135
2021,1,district,visakhapatnam,48248923,95308386037.8472
2021,1,pincode,560001,111898471,154275126291.57785
2021,1,pincode,500001,107274281,218270126529.36053
2021,1,pincode,411004,99287169,142692099313.18896
2021,1,pincode,302016,65639307,124138636281.23145
2021,1,pincode,110006,46104924,76683904356.11441
2021,1,pincode,462008,45920869,76097617508.03972
2021,1,pincode,800001,30937663,68071234953.67711
2021,1,pincode,600003,25512152,44939868773.04714
2021,1,pincode,400070,25090098,39416189451.46673
2021,1,pincode,751001,24151383,44482729136.236565
2021,4,district,bengaluru urban,584958847,755926042210.8081
2021,4,district,pune,371337618,454584743765.05554
2021,4,district,hyderabad,325636475,582079170534.0186
2021,4,district,jaipur,231804892,394435778364.0141
2021,4,district,bhopal,134176541,190196223229.17587
2021,4,district,rangareddy,111354739,188838966046.13513
2021,4,district,central delhi,111134916,177625511230.04297
2021,4,district,medchal malkajgiri,98780634,164568262330.06238
2021,4,district,khordha,94505879,135122128258.68542
2021,4,district,mumbai suburban,92733033,134616103622.6073
2021,4,pincode,500001,213053128,398798138080.5086
2021,4,pincode,560001,206723470,283864051273.69073
2021,4,pincode,411004,185423020,259406175394.85846
2021,4,pincode,302016,130544931,225546213678.03116
2021,4,pincode,462008,97987017,145639258182.99155
2021,4,pincode,110006,96850347,152021116180.99402
2021,4,pincode,800001,61784983,113485175570.40105
2021,4,pincode,444510,55162139,103212697006.96257
2021,4,pincode,600003,54054310,83084090738.55415
2021,4,pincode,751001,52532360,79093274940.53792
2021,2,district,bengaluru urban,326804307,444422398357.67755
2021,2,district,pune,218732925,298657497266.993
2021,2,district,hyderabad,212326623,424872741465.13696
2021,2,district,jaipur,137247139,248390977964.5579
2021,2,district,bhopal,74643630,127038866031.39793
2021,2,district,rangareddy,63155281,113987187628.93881
2021,2,district,central delhi,62131856,100895875737.76093
2021,2,district,medchal malkajgiri,58755991,102864360004.68025
2021,2,district,visakhapatnam,54390299,114439012713.35336
2021,2,district,patna,53400850,114936398151.99364
2021,2,pincode,500001,148864777,315432046413.6635
2021,2,pincode,560001,123224371,183498284704.3348
2021,2,pincode,411004,120795663,186134320440.93646
2021,2,pincode,302016,81782827,152295120262.96942
2021,2,pincode,462008,57596018,101902493881.58667
2021,2,pincode,110006,54888173,88849307061.74399
2021,2,pincode,800001,42836603,91781680811.21812
2021,2,pincode,600003,31694305,54282023022.639435
2021,2,pincode,751001,30961581,53565783087.01067
2021,2,pincode,700009,30775525,59587220231.94326
2024,4,district,bengaluru urban,1674347983,1790144192589.0
2024,4,district,pune,900035103,817012243191.0
2024,4,district,rangareddy,616593580,775467300648.0
2024,4,district,medchal malkajgiri,534184945,651550001586.0
2024,4,district,hyderabad,497079422,601741671786.0
2024,4,district,jaipur,419541051,484830515848.0
2024,4,district,gautambuddha nagar,308036927,255133255191.0
2024,4,district,gurugram,301187458,265842877273.0
2024,4,district,indore,264106034,277132973152.0
2024,4,district,thane,260133540,262082431087.0
2024,4,pincode,500072,97079697,111354370899.0
2024,4,pincode,201301,71597704,52354483878.0
2024,4,pincode,500081,67246969,72596118114.0
2024,4,pincode,560068,63798364,60719442481.0
2024,4,pincode,560100,58873952,55139541256.0
2024,4,pincode,452001,58325781,52789642819.0
2024,4,pincode,410501,55813356,42271781255.0
2024,4,pincode,411057,48685493,38546349566.0
2024,4,pincode,560037,48507070,50370682932.0
2024,4,pincode,560066,44494164,45074223595.0
2024,3,district,bengaluru urban,1631451937,1750492470314.0
2024,3,district,pune,839977058,761109455466.0
2024,3,district,rangareddy,577835181,738052396062.0
2024,3,district,medchal malkajgiri,501688745,624450298660.0
2024,3,district,hyderabad,465828755,570267006787.0
2024,3,district,jaipur,392547155,435623980901.0
2024,3,district,gautambuddha nagar,291856209,236884974417.0
2024,3,district,gurugram,291583503,249171079828.0
2024,3,district,indore,243877173,252129873604.0
2024,3,district,thane,232855213,237163270363.0
2024,3,pincode,500072,92129066,108183377419.0
2024,3,pincode,201301,68967992,49390127364.0
